experiment,user,video,startingTime,endTime,N,magQuat,avTsampling,avFsampling
0,38,4,0.021,205.708,18438,0.9999970222263088,0.011155602559930578,89.64105655680719
0,38,5,0.0,655.073,58677,0.9999973633000521,0.011164050650169573,89.57322313696336
0,38,6,0.0,451.12800000000004,40559,0.9999946360543255,0.011122759436869746,89.90574737103438
0,38,7,0.0,164.815,14998,1.0000046249016559,0.010989131884251234,90.99899887752935
0,38,8,0.0,292.079,26797,1.000006352290807,0.010899690263835504,91.7457263274662
0,39,0,0.021,164.215,14711,1.000002693518863,0.011161307864863029,89.59523490505133
0,39,1,0.021,201.141,18177,0.9999932845953126,0.011064532101006767,90.3788782816229
0,39,2,0.021,293.23900000000003,26251,0.9999971813237417,0.011169784008228259,89.5272459398809
0,39,3,0.0,172.577,15452,0.9999954950076794,0.01116858659073259,89.53684442306913
0,39,4,0.021,205.708,18400,1.0000029479151018,0.011178641304347826,89.45630982998439
0,39,5,0.0,655.073,58491,0.99999918843929,0.011199552067839496,89.289285316293
0,39,6,0.0,451.12800000000004,40548,1.0000009512754955,0.011125776857058301,89.88136404745438
0,39,7,0.021,164.815,15031,0.9999972461492826,0.010963608542345819,91.2108450550384
0,39,8,0.0,292.079,26816,1.0000025844696068,0.010891967482100239,91.81077722123123
0,4,0,2.015,164.215,14725,0.999999234641124,0.011015280135823431,90.78298397040689
0,4,1,0.021,201.141,18181,0.9999999997318235,0.011062097794400748,90.39876690533015
0,4,2,0.0,293.23900000000003,26289,1.0000024083972,0.011154437217086996,89.65042166969604
0,4,3,0.021,172.577,15488,0.9999988849475776,0.011141270661157025,89.75636894689261
0,4,4,0.0,205.708,18438,0.999990240289452,0.011156741512094587,89.63190541933226
0,4,5,0.021,655.073,58678,0.9999962740253099,0.01116350250519786,89.57762131861287
0,4,6,0.021,451.12800000000004,40558,0.9999995034493364,0.011122515903151043,89.90771590775582
0,4,7,0.0,164.815,15017,0.9999967104725649,0.010975228074848504,91.11427964687681
0,4,8,0.0,292.079,26836,0.9999989489327267,0.010883850052168728,91.87925184624709
0,40,0,0.0,164.215,14705,0.9999976562553865,0.011167290037402244,89.547239898913
0,40,1,0.021,201.141,18166,1.0000009046198266,0.01107123197181548,90.324184566428
0,40,2,0.021,293.23900000000003,26260,1.0000036522832636,0.011165955826351867,89.5579398263408
0,40,3,0.021,172.577,15455,1.000002281163189,0.011165059851180848,89.56512668351144
0,40,4,0.0,205.708,18404,1.0000037836325113,0.011177352749402304,89.46662259124584
0,40,5,0.021,655.073,58636,1.0000002663336662,0.01117149873797667,89.51350427141662
0,40,6,0.021,451.12800000000004,40546,1.0000011940454998,0.011125807724559759,89.88111468010915
0,40,7,0.021,164.815,14999,1.0000018893899292,0.010986999133275553,91.01666322803014
0,40,8,0.0,292.079,26820,0.9999952619004758,0.01089034302759135,91.82447214623441
0,41,0,0.0,164.215,14698,0.9999986810590586,0.011172608518165737,89.5046128550985
0,41,1,0.021,201.141,18178,0.9999968346326991,0.011063923423919023,90.38385043754973
0,41,2,0.021,293.23900000000003,26193,0.999998301285654,0.01119451761921124,89.32944089380597
0,41,3,0.021,172.577,15447,1.0000046956686606,0.011170842234738137,89.51876492269176
0,41,4,0.0,205.708,18430,1.000001036873635,0.011161584373304395,89.59301534213546
0,41,5,0.0,655.073,58663,0.9999996792680729,0.011166714965139867,89.55185147304194
0,41,6,0.021,451.12800000000004,40533,0.9999885213522199,0.011129376063947895,89.85229668349193
0,41,7,0.021,164.815,15014,1.0000006446744023,0.010976022379112828,91.10768595944027
0,41,8,0.0,292.079,26813,1.0000044177515797,0.010893186141050983,91.80050602747887
0,42,0,0.0,164.215,14707,1.000004906897811,0.011165771401373497,89.55941905428858
0,42,1,0.0,201.141,18182,1.0000003906234658,0.011062644373556264,90.39430051555874
0,42,2,0.021,293.23900000000003,26266,0.9999976387201254,0.011163405162567579,89.57840241731407
0,42,3,0.0,172.577,15468,0.9999952455385079,0.011157033876389966,89.62955666166407
0,42,4,0.021,205.708,18417,0.9999919561052767,0.011168322745289679,89.53895968145774
0,42,5,0.021,655.073,58675,0.9999988032290791,0.011164073285044738,89.57304152952743
0,42,6,0.021,451.12800000000004,40558,0.99999889141676,0.011122515903151043,89.90771590775582
0,42,7,0.0,164.815,15007,1.0000077470889825,0.010982541480642366,91.05360555774656
0,42,8,0.0,292.079,26844,1.000000996837497,0.010880606466994487,91.9066416962534
0,43,0,0.0,164.215,14719,0.9999990255367749,0.011156668251919289,89.63249398654203
0,43,1,0.021,201.141,18193,0.9999968316212141,0.01105480129720222,90.45843277645187
0,43,2,0.0,293.23900000000003,26260,1.0000004248522358,0.011166755521706017,89.55152622945788
0,43,3,0.0,172.577,15474,0.9999923948136885,0.011152707767868683,89.66432375113718
0,43,4,0.021,205.708,18432,0.9999922963813549,0.011159233940972223,89.61188602099305
0,43,5,0.021,655.073,58671,0.999996849752914,0.011164834415639754,89.56693514408016
0,43,6,0.021,451.12800000000004,40559,1.0000018462606413,0.011122241672625065,89.90993267672637
0,43,7,0.0,164.815,15019,1.0000041661906123,0.010973766562354352,91.12641446470285
0,43,8,0.0,292.079,26807,1.000006179029975,0.01089562427724102,91.77996363997411
0,44,0,0.0,164.215,14709,1.0000035127959874,0.011164253178326195,89.57159820966416
0,44,1,0.0,201.141,18182,0.9999986020191678,0.011062644373556264,90.39430051555874
0,44,2,0.021,293.23900000000003,26257,0.9999990632403981,0.011167231595384089,89.54770853085417
0,44,3,0.0,172.577,15456,0.9999999110226963,0.011165696169772256,89.56002248271787
0,44,4,0.021,205.708,18435,1.0000041080694215,0.011157417954976946,89.62647128890012
0,44,5,0.0,655.073,58547,1.0000020503432816,0.01118883973559704,89.3747719719787
0,44,6,0.0,451.12800000000004,40555,0.999994914531604,0.011123856491184811,89.89688070791438
0,44,7,0.021,164.815,15016,0.9999985941973785,0.010974560468833246,91.11982232362827
0,44,8,0.021,292.079,26819,1.0000007814282554,0.010889966068831799,91.82765067212677
0,45,0,0.0,164.215,14704,0.9999974026681098,0.011168049510337324,89.54115032122522
0,45,1,0.0,201.141,18178,1.0000024085306927,0.011065078666519968,90.37441396831079
0,45,2,0.021,293.23900000000003,26268,1.0000011597604859,0.011162555200243644,89.58522328097183
0,45,3,0.0,172.577,15476,1.000003915033324,0.011151266477125872,89.67591278096154
0,45,4,0.0,205.708,18435,1.0000019147491093,0.011158557092487116,89.61732164038347
0,45,5,0.0,655.073,58671,0.9999997899385885,0.011165192343747337,89.5640638524256
0,45,6,0.0,451.12800000000004,40492,1.0000048608072876,0.011141163686654154,89.75723076377436
0,45,7,0.0,164.815,15016,0.9999997256824692,0.010975958977091103,91.10821223796377
0,45,8,0.0,292.079,26866,0.9999995456675717,0.010871696568153056,91.98196378377082
0,46,0,0.0,164.215,14707,1.000005252817473,0.011165771401373497,89.55941905428858
0,46,1,0.021,201.141,18182,0.9999984218771303,0.011061489385106149,90.40373906125696
0,46,2,0.021,293.23900000000003,26252,0.9999986316403259,0.011169358525064758,89.53065637170978
0,46,3,0.0,172.577,15474,0.9999986295020828,0.011152707767868683,89.66432375113718
0,46,4,0.0,205.708,18440,1.0000007781459017,0.011155531453362256,89.64162793863146
0,46,5,0.021,655.073,58671,0.9999994888287518,0.011164834415639754,89.56693514408016
0,46,6,0.021,451.12800000000004,40559,0.9999988300070345,0.011122241672625065,89.90993267672637
0,46,7,0.021,164.815,15013,1.00000175159767,0.01097675348031706,91.10161777734626
0,46,8,0.021,292.079,26820,0.9999982378568666,0.010889560029828486,91.8310746495559
0,47,0,0.0,164.215,14695,1.0000005740546705,0.011174889418169446,89.48634412203513
0,47,1,0.0,201.141,18179,0.9999999267649825,0.01106446999284889,90.37938560512279
0,47,2,0.0,293.23900000000003,26254,0.9999940846627311,0.011169307534090045,89.53106510389135
0,47,3,0.0,172.577,15461,0.999997691954615,0.011162085246749887,89.58899505727878
0,47,4,0.021,205.708,18435,1.0000025906718704,0.011157417954976946,89.62647128890012
0,47,5,0.0,655.073,58678,1.000003956897754,0.01116386039060636,89.57474968438633
0,47,6,0.021,451.12800000000004,40541,0.9999914870596828,0.011127179891961225,89.87003083525637
0,47,7,0.021,164.815,15024,1.000006808487518,0.010968716719914803,91.16836778038035
0,47,8,0.0,292.079,26820,1.0000096519292705,0.01089034302759135,91.82447214623441
0,48,0,0.021,164.215,14698,1.0000017277855,0.011171179752347259,89.51606027016821
0,48,1,0.0,201.141,18163,0.9999968750575824,0.011074216814402906,90.29983941613098
0,48,2,0.0,293.23900000000003,26245,0.9999985411550949,0.011173137740522006,89.50037341554157
0,48,3,0.0,172.577,15454,1.0000063037040527,0.011167141193218584,89.54843345289349
