classifier,datatype,fit_time,fold,score_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,methodtype,dataset,classlabels
KNN,Euler,0.007992267608642578,7,0.11111807823181152,0.4620689655172414,0.4521169330426972,0.467665179739237,0.4620689655172415,fbc,IMT,videos
KNN,Euler,0.007855653762817383,8,0.11262702941894533,0.4597701149425287,0.4577635803696086,0.4698144903102951,0.4597701149425287,fbc,IMT,videos
KNN,Euler,0.009988069534301758,9,0.1598987579345703,0.4712643678160919,0.4644246384160942,0.4666229735778777,0.4712643678160919,fbc,IMT,videos
KNN,Euler,0.006728410720825195,10,0.13399529457092285,0.4781609195402299,0.4736340960145996,0.4822047420451036,0.4781609195402298,fbc,IMT,videos
KNN,Euler,0.013208627700805664,11,0.14378976821899414,0.4988505747126437,0.4948332064512361,0.5040508532702661,0.4988505747126437,fbc,IMT,videos
KNN,Euler,0.009148359298706056,12,0.1327986717224121,0.4574712643678161,0.4520045774579591,0.4598449155211817,0.4574712643678162,fbc,IMT,videos
KNN,Euler,0.014505386352539062,13,0.14823436737060547,0.4873563218390805,0.4833830107940906,0.4927220856186548,0.4873563218390805,fbc,IMT,videos
KNN,Euler,0.008159160614013672,14,0.10393667221069336,0.4666666666666667,0.4601677418656823,0.4656776043319358,0.4666666666666667,fbc,IMT,videos
KNN,Euler,0.008222103118896484,15,0.13228821754455564,0.4413793103448276,0.43755639632660187,0.4436840166304955,0.4413793103448277,fbc,IMT,videos
KNN,Euler,0.012557029724121094,16,0.15584945678710938,0.4574712643678161,0.4532557020751302,0.4650050244926905,0.4574712643678162,fbc,IMT,videos
KNN,Euler,0.007252216339111328,17,0.11334657669067386,0.4988505747126437,0.4901356482524123,0.49696526889970793,0.4988505747126436,fbc,IMT,videos
KNN,Euler,0.009599447250366213,18,0.10767483711242676,0.4666666666666667,0.4624770637063908,0.4704975529451654,0.4666666666666667,fbc,IMT,videos
KNN,Euler,0.008029699325561523,19,0.13557028770446775,0.5103448275862069,0.4973039494702711,0.5004903561026994,0.5103448275862069,fbc,IMT,videos
DT,Euler,2.1046187877655034,0,0.005931377410888672,0.4206896551724138,0.4171637643249532,0.4149649175588895,0.4206896551724138,fbc,IMT,videos
DT,Euler,2.0754098892211914,1,0.0060882568359375,0.4436781609195402,0.4409984949584323,0.4389804919461876,0.44367816091954027,fbc,IMT,videos
DT,Euler,2.1020972728729252,2,0.005933284759521484,0.4942528735632184,0.4871359844437982,0.4862202489862064,0.4942528735632185,fbc,IMT,videos
DT,Euler,2.0603618621826167,3,0.005908012390136719,0.4183908045977012,0.4149000013331223,0.4162994236202171,0.4183908045977011,fbc,IMT,videos
DT,Euler,1.689725399017334,4,0.006077766418457031,0.4804597701149425,0.4793715354515722,0.4807616255409905,0.4804597701149425,fbc,IMT,videos
DT,Euler,2.088351964950561,5,0.005990982055664063,0.4436781609195402,0.4455128746678206,0.4507084171696848,0.44367816091954027,fbc,IMT,videos
DT,Euler,2.1006622314453125,6,0.005990266799926758,0.4551724137931034,0.4515157712577868,0.4503797447741365,0.4551724137931034,fbc,IMT,videos
DT,Euler,1.6291005611419678,7,0.005946159362792969,0.43218390804597706,0.4308441459447588,0.4323944106842449,0.43218390804597706,fbc,IMT,videos
DT,Euler,1.6462321281433103,8,0.005921363830566406,0.43908045977011495,0.4397102505122345,0.4417736511854159,0.4390804597701149,fbc,IMT,videos
DT,Euler,2.0797207355499268,9,0.006186723709106445,0.4505747126436782,0.4476386791699965,0.4468625883645992,0.4505747126436782,fbc,IMT,videos
DT,Euler,2.0671815872192383,10,0.005937099456787109,0.3839080459770115,0.38420428482925423,0.3860651425705906,0.3839080459770115,fbc,IMT,videos
DT,Euler,1.6775116920471191,11,0.005922317504882813,0.4758620689655173,0.476801162940227,0.4795754455288603,0.4758620689655173,fbc,IMT,videos
DT,Euler,1.7729322910308838,12,0.005919456481933594,0.43218390804597706,0.4339515814782573,0.4369888426751172,0.43218390804597706,fbc,IMT,videos
DT,Euler,1.698911428451538,13,0.00595545768737793,0.4183908045977012,0.4181976600265867,0.41865470712597935,0.4183908045977011,fbc,IMT,videos
DT,Euler,1.669025182723999,14,0.005884408950805664,0.4459770114942529,0.4466137958060229,0.4487380986720678,0.4459770114942529,fbc,IMT,videos
DT,Euler,1.6614642143249512,15,0.005967378616333008,0.4459770114942529,0.4477718159166123,0.4518705785916451,0.4459770114942529,fbc,IMT,videos
DT,Euler,1.6653909683227541,16,0.005790948867797852,0.4436781609195402,0.4438148931172187,0.4453397010852184,0.44367816091954027,fbc,IMT,videos
DT,Euler,2.1102252006530757,17,0.005827903747558594,0.4068965517241379,0.4079049111807732,0.4090855479259152,0.4068965517241379,fbc,IMT,videos
DT,Euler,1.678147554397583,18,0.005967855453491211,0.4206896551724138,0.42160967370269703,0.4245053788345262,0.4206896551724138,fbc,IMT,videos
DT,Euler,2.028963565826416,19,0.010379314422607422,0.42758620689655175,0.4262409582639027,0.4258455671136428,0.4275862068965518,fbc,IMT,videos
RF,Euler,11.150143146514893,0,0.02603626251220703,0.5149425287356322,0.5081191492402974,0.5123037488382142,0.5149425287356322,fbc,IMT,videos
RF,Euler,11.043384313583374,1,0.023223161697387692,0.5172413793103449,0.5097488817126582,0.510173164130115,0.5172413793103448,fbc,IMT,videos
RF,Euler,11.066044807434082,2,0.0231318473815918,0.542528735632184,0.5381707555419405,0.5418508096786235,0.542528735632184,fbc,IMT,videos
RF,Euler,13.888195276260376,3,0.02306771278381348,0.503448275862069,0.4958696011420954,0.505067327866873,0.503448275862069,fbc,IMT,videos
RF,Euler,12.318492650985718,4,0.024740934371948242,0.5586206896551724,0.548581354825233,0.5591435806961723,0.5586206896551724,fbc,IMT,videos
RF,Euler,13.765049695968628,5,0.024023771286010742,0.5333333333333333,0.5295647670183892,0.5340345812793297,0.5333333333333334,fbc,IMT,videos
RF,Euler,13.905724048614502,6,0.023334503173828125,0.5701149425287356,0.5644347376191798,0.5698074140891224,0.5701149425287356,fbc,IMT,videos
RF,Euler,11.242799282073976,7,0.022898197174072262,0.4988505747126437,0.4934383001619739,0.4947216771617526,0.4988505747126436,fbc,IMT,videos
RF,Euler,11.56027102470398,8,0.02349948883056641,0.5655172413793104,0.5611546133733276,0.5631623966001944,0.5655172413793104,fbc,IMT,videos
RF,Euler,12.010940551757812,9,0.025884151458740238,0.5287356321839081,0.5138731947021735,0.5137687491940868,0.5287356321839081,fbc,IMT,videos
RF,Euler,13.86601209640503,10,0.023602962493896484,0.5126436781609195,0.5085898955980902,0.5110591097524456,0.5126436781609196,fbc,IMT,videos
RF,Euler,12.661581754684448,11,0.023169279098510742,0.5379310344827586,0.5286144443441623,0.5378925516652621,0.5379310344827586,fbc,IMT,videos
RF,Euler,12.471567153930664,12,0.023140668869018555,0.5149425287356322,0.5129143547477159,0.520831331214963,0.5149425287356322,fbc,IMT,videos
RF,Euler,11.116660833358765,13,0.02821111679077148,0.5586206896551724,0.5509797664132617,0.5549926482255251,0.5586206896551724,fbc,IMT,videos
RF,Euler,13.452005386352539,14,0.023088693618774414,0.5241379310344828,0.519998415584133,0.5271449584969718,0.5241379310344827,fbc,IMT,videos
RF,Euler,11.041216135025024,15,0.02301788330078125,0.5080459770114942,0.5025040031272344,0.506215681440157,0.5080459770114943,fbc,IMT,videos
RF,Euler,11.28203797340393,16,0.02284765243530273,0.5310344827586206,0.5266382632173243,0.529289601142071,0.5310344827586206,fbc,IMT,videos
RF,Euler,13.798234701156616,17,0.028353452682495117,0.5402298850574713,0.5322493742859042,0.5452153777480192,0.5402298850574712,fbc,IMT,videos
RF,Euler,13.82056450843811,18,0.02462601661682129,0.5126436781609195,0.5095820280349367,0.5128265460030166,0.5126436781609195,fbc,IMT,videos
RF,Euler,13.81705117225647,19,0.0230557918548584,0.5517241379310345,0.5455035852951435,0.5543903355155362,0.5517241379310345,fbc,IMT,videos
GBM,Euler,62.76211404800415,0,0.009383916854858398,0.6068965517241379,0.6018683279978412,0.605204621551704,0.6068965517241379,fbc,IMT,videos
GBM,Euler,58.73120498657226,1,0.009356021881103516,0.5747126436781609,0.5685605448254345,0.5727758485712713,0.574712643678161,fbc,IMT,videos
GBM,Euler,62.509576082229614,2,0.009310007095336914,0.6160919540229886,0.6114684427636277,0.6130706420499235,0.6160919540229886,fbc,IMT,videos
GBM,Euler,65.12645626068115,3,0.00922846794128418,0.5816091954022988,0.5765629829352551,0.5778470519410035,0.5816091954022988,fbc,IMT,videos
GBM,Euler,59.91777443885803,4,0.011655092239379885,0.6091954022988506,0.6052713994430059,0.6107790495563383,0.6091954022988506,fbc,IMT,videos
GBM,Euler,62.09600877761841,5,0.00924396514892578,0.5954022988505747,0.5940318784037456,0.5972129182535855,0.5954022988505747,fbc,IMT,videos
GBM,Euler,56.53720736503601,6,0.009312629699707031,0.6229885057471264,0.6199216422794965,0.6231477894079597,0.6229885057471265,fbc,IMT,videos
GBM,Euler,66.34043931961061,7,0.01889204978942871,0.6091954022988506,0.6053852176929101,0.6070941980457981,0.6091954022988506,fbc,IMT,videos
GBM,Euler,63.10991311073303,8,0.009525537490844728,0.6183908045977011,0.6163976354115152,0.6158287083873641,0.6183908045977012,fbc,IMT,videos
GBM,Euler,65.98747515678407,9,0.009287357330322266,0.5816091954022988,0.5742954558711024,0.5754664819066442,0.5816091954022988,fbc,IMT,videos
GBM,Euler,65.20709061622621,10,0.010131120681762695,0.535632183908046,0.5320099929423635,0.5390260609537718,0.535632183908046,fbc,IMT,videos
GBM,Euler,66.73799562454225,11,0.009304523468017578,0.5701149425287356,0.5647913520113674,0.5709081884090933,0.5701149425287355,fbc,IMT,videos
GBM,Euler,63.290478467941284,12,0.012862205505371094,0.5839080459770115,0.5795251512139558,0.5833118290893665,0.5839080459770115,fbc,IMT,videos
GBM,Euler,58.0838360786438,13,0.00937962532043457,0.5977011494252874,0.5942907363155361,0.5971287238539891,0.5977011494252874,fbc,IMT,videos
GBM,Euler,59.657060384750366,14,0.009323358535766602,0.5793103448275863,0.5756803052697819,0.5811051746606505,0.5793103448275863,fbc,IMT,videos
GBM,Euler,61.19412350654602,15,0.010754823684692385,0.5816091954022988,0.5785923616946113,0.5824856116345478,0.5816091954022988,fbc,IMT,videos
GBM,Euler,58.262229204177856,16,0.01024317741394043,0.5862068965517241,0.585328359761994,0.5893657911505057,0.5862068965517242,fbc,IMT,videos
GBM,Euler,56.863703489303596,17,0.009290695190429688,0.6068965517241379,0.6012415644093327,0.6124966384183006,0.6068965517241379,fbc,IMT,videos
GBM,Euler,59.387946128845215,18,0.010238409042358398,0.5724137931034483,0.5706091363981153,0.5716353620278062,0.5724137931034482,fbc,IMT,videos
GBM,Euler,60.881651639938354,19,0.009389162063598631,0.5816091954022988,0.5758776084000189,0.5767992926613617,0.5816091954022988,fbc,IMT,videos
KNN,Yaw,0.005097627639770508,0,0.09307646751403807,0.42758620689655175,0.4239864734471044,0.42778666517478336,0.4275862068965518,fbc,IMT,videos
KNN,Yaw,0.004166364669799805,1,0.09208178520202637,0.3609195402298849,0.3552946532762649,0.3576726773046108,0.3609195402298851,fbc,IMT,videos
KNN,Yaw,0.004389047622680664,2,0.11759543418884275,0.3885057471264368,0.3854957509918561,0.3896353467806691,0.3885057471264368,fbc,IMT,videos
KNN,Yaw,0.002255439758300781,3,0.08436703681945801,0.3724137931034483,0.36986704858038827,0.3750078074445616,0.3724137931034483,fbc,IMT,videos
KNN,Yaw,0.002154111862182617,4,0.1111154556274414,0.3287356321839081,0.3237725258505447,0.32171258692997823,0.3287356321839081,fbc,IMT,videos
KNN,Yaw,0.005265235900878906,5,0.11350107192993165,0.3747126436781609,0.3706064195360689,0.3721143529249836,0.374712643678161,fbc,IMT,videos
